281000008626B,MAXWELL,PKT: COML 2200 F12 PACKET THINKING SURREALISMS,CUSTOM PUBLISHING,,R,$18.00
9780292770881,"ROSEMONT, PENELOPE",SURREALIST WOMEN AN INTERNATIONAL ANTHOLOGY,UNIVERSITY OF TEXAS PRESS,,R,$39.95
9780472061822,BRETON,MANIFESTOES OF SURREALISM,UNIVERSITY OF MICHIGAN PRESS,3,R,$19.95
9780802150264,"BRETON, ANDRE",NADJA,GROVE/ATLANTIC,,R,$13.00
9780872863156,"GARON, PAUL",BLUES AND THE POETIC SPIRIT,CITY LIGHTS BOOKS,2,R,$16.95
9780878466283,"POLIZZOTTI, MARK",ANDRE BRETON SURREALISM AND PAINTING,DISTRIBUTED ART PUBLISHERS,,R,$29.95
9780882862996,PERET BENJAMIN,MENAGERIE IN REVOLT: SELECTED WRITINGS,CHARLES H KERR PUBL CO,,R,$15.00
9781570271229,"SAKOLSKY, RON",SURREALIST SUBVERSIONS RANTS WRITINGS IMAGES BY THE SURREALIST MOVEMENT IN THE UNITED STATES,"SEMIOTEXTE, INC",,O,$22.95
9781583670255,"CESAIRE, AIME",DISCOURSE ON COLONIALISM,NEW YORK UNIV PRESS,,R,$14.00
9781859840184,"RICHARDSON, MICHAEL",REFUSAL OF THE SHADOW SURREALISM AND THE CARRIBEAN,INGRAM LIGHTNING SOURCE,,R,$33.75
9781878972101,ARAGON,PARIS PEASANT,DISTRIBUTED ART PUBLISHERS,,R,$15.95
