9780198239307,"BOSTOCK, DAVID",PLATO'S THEAETETUS,OXFORD UNIVERSITY PRESS,,O,$60.00
9780198240891,ARISTOTLE,POSTERIOR ANALYTICS 2ED,OXFORD UNIVERSITY PRESS,,R,$50.00
9780198249184,BOSTOCK,PLATOS PHAEDO,OXFORD UNIVERSITY PRESS,,O,$50.00
9780198720492,PLATO,PHAEDO TR GALLOP,OXFORD UNIVERSITY PRESS,,R,$50.00
9780198720836,PLATO,THEAETETUS ED MCDOWELL,OXFORD UNIVERSITY PRESS,3,R,$55.00
9780199204144,"SEDLEY, DAVID",MIDWIFE OF PLATONISM: TEXT AND SUBTEXT IN PLATO'S THEAETETUS,OXFORD UNIVERSITY PRESS,,O,$50.00
9780199256730,"CHARLES, DAVID",ARISTOTLE ON MEANING AND ESSENCE,OXFORD UNIVERSITY PRESS,,O,$55.00
9780521030915,"SCOTT, DOMINIC",RECOLLECTION AND EXPERIENCE: PLATO'S THEORY OF LEARNING AND ITS SUCCESSORS,CAMBRIDGE UNIVERSITY PRESS,,O,$63.00
9780521276443,ANNAS,MODES OF SCEPTICISM,CAMBRIDGE UNIVERSITY PRESS,,O,$38.00
9780521531955,SEXTUS EMPIRI,SEXTUS EMPIRICUS AGAINST THE LOGICIANS,CAMBRIDGE UNIVERSITY PRESS,,O,$41.00
9780521676779,PLATO,MENO AND PHAEDO,CAMBRIDGE UNIVERSITY PRESS,,R,$17.99
9780521778091,ANNAS J (ED),SEXTUS EMPIRICUS OUTLINES OF SCEPTICISM 2ND,CAMBRIDGE UNIVERSITY PRESS,,R,$32.00
9780872203471,BURNYEAT,ORIGINAL SCEPTICS,HACKETT PUBLISHING CO,,R,$17.95
9780872206335,PLATO,FIVE DIALOGUES,HACKETT,2,R,$8.95
9780915144815,BURNYEAT,THEAETETUS OF PLATO,HACKETT PUBLISHING CO,,R,$18.00
