9780064400558,"WHITE, E. B.",CHARLOTTES WEB,HARPERCOLLINS PUBLISHERS,,R,$7.99
9780312367541,"L'ENGLE, MADELEINE",A WRINKLE IN TIME,ST MARTINS PRESS,,R,$6.99
9780375863387,"MACDONALD, GEORGE",THE PRINCESS AND THE GOBLIN,RANDOM HOUSE,,R,$9.99
9780393958041,CARROLL,ALICE IN WONDERLAND,W W NORTON & COMPANY,2,R,$16.25
9780440414124,"CURTIS, CHRISTOPHER PAUL",THE WATSONS GO TO BIRMINGHAM - 1963,DELL PUBLISHING COMPANY,,R,$6.99
9780451528353,"TWAIN, MARK",THE PRINCE AND THE PAUPER: 100TH ANNIVERSARY EDITION,NEW AMERICAN LIBRARY,,R,$3.95
9780451528834,"BURNETT, FRANCES HODGSON",SECRET GARDEN,NEW AMERICAN LIBRARY,,R,$3.95
9780451530974,"STEVENSON, ROBERT LOUIS",TREASURE ISLAND,NEW AMERICAN LIBRARY,,R,$3.95
9780689856402,"KADOHATA, CYNTHIA",KIRA-KIRA,MACMILLAN PUBL. CO.,,R,$6.99
9780786814541,"ERDRICH, LOUISE",THE BIRCHBARK HOUSE,LITTLE BROWN & CO,,R,$6.99
