9780199231959,VIRGIL,AENEID,OXFORD UNIVERSITY PRESS,,R,$15.95
9780199556311,"RICKS, CHRISTOPHER",NEW OXFORD BOOK OF VICTORIAN VERSE,OXFORD UNIVERSITY PRESS,,R,$25.95
9780393316889,GILBERT,COMPLETE PLAYS OF GILBERT & SULLIVAN,W W NORTON & COMPANY,,R,$17.95
9780553213430,ARISTOPHANES,COMPLETE PLAYS OF ARISTOPHANES,BANTAM DOUBLEDAY DELL CO.,,R,$6.95
9780631218760,TUCKER,COMPANION TO VICTORIAN LITERATURE & CULTURE,AIDC,,R,$48.95
9780679721758,"HOBSBAWM, ERIC J.",AGE OF EMPIRE 1875-1914,"RANDOM HOUSE, INC.",,R,$18.00
9780679772538,"HOBSBAWM, ERIC J.",AGE OF REVOLUTION EUROPE 17891848,DAVID MCKAY,,R,$16.95
9780679772545,"HOBSBAWM, ERIC J.",AGE OF CAPITAL 1848-1875,DAVID MCKAY,,R,$16.95
9780801473975,SOPHOCLES,TWO FACES OF OEDIPUS: SOPHOCLES' OEDIPUS TYRANNUS AND SENECA'S OEDIPUS,CORNELL UNIVERSITY PRESS,,R,$16.95
9781853264061,"BYRON, GEORGE GORDON NOEL",SELECTED POEMS OF BYRON,L.B. MAY & ASSOCIATES,,R,$7.99
9781853264146,"TENNYSON, ALFRED",WORKS OF ALFRED LORD TENNYSON,L.B. MAY & ASSOCIATES,,R,$7.99
