281000008531B,AICHENBAUM,PKT: ENGL 1147-106 F12 PACKET MYSTERY IN THE STORY,CUSTOM PUBLISHING,,R,$4.25
9780140071085,"JACKSON, SHIRLEY",HAUNTING OF HILL HOUSE,THE PENGUIN GROUP,,R,$15.00
9780312542542,"HACKER, DIANA",A POCKET STYLE MANUAL,MPS,6,R,$29.25
9780375724831,"LETHEM, JONATHAN",MOTHERLESS BROOKLYN,RANDOM HOUSE,,R,$15.95
9780394757681,"CHANDLER, RAYMOND",THE LONG GOODBYE,"RANDOM HOUSE, INC.",,R,$14.00
9780425200452,"CHRISTIE, AGATHA",MURDER ON THE ORIENT EXPRESS,PUTNAM BERKLEY GROUP,,R,$6.99
9780486268750,POE,GOLD BUG & OTHER TALES,DOVER PUBLICATIONS,,R,$2.50
9780486270555,800759270552,SIX GREAT SHERLOCK HOLMES STORIES,DOVER PUBLICATIONS,,R,$2.50
9780486275451,CHESTERTON,FAVORITE FATHER BROWN STORIES,DOVER PUBLICATIONS,,R,$3.50
9780486287447,POE,TALES OF TERROR AND DETECTION,DOVER PUBLICATIONS,,R,$3.00
