9780140714531,SHAKESPEARE W,SONNETS,THE PENGUIN GROUP,,R,$7.00
9780312294205,RODENBURG,SPEAKING SHAKESPEARE,ST MARTINS PRESS,,R,$26.95
9780743477109,SHAKESPEARE,MACBETH (FOLGER),"SIMON & SCHUSTER, INC.",,R,$5.99
9780743477116,SHAKESPEARE,ROMEO & JULIET (NEW FOLGER),"SIMON & SCHUSTER, INC.",,R,$5.99
9780743477123,"SHAKESPEARE, WILLIAM",TRAGEDY OF HAMLET PRINCE OF DENMARK,"SIMON & SCHUSTER, INC.",,R,$5.99
9780743482769,SHAKESPEARE,KING LEAR,"SIMON & SCHUSTER, INC.",,R,$5.99
9780743482776,"SHAKESPEARE, WILLIAM",TWELFTH NIGHT OR WHAT YOU WILL,"SIMON & SCHUSTER, INC.",,R,$5.99
9780743482844,"SHAKESPEARE, WILLIAM",TRAGEDY OF RICHARD III,"SIMON & SCHUSTER, INC.",,R,$5.99
9780743484862,SHAKESPEARE,AS YOU LIKE IT (ED MOWAT),"SIMON & SCHUSTER, INC.",,R,$5.99
9780743484909,SHAKESPEARE,MEASURE FOR MEASURE,"SIMON & SCHUSTER, INC.",,R,$5.99
9780743484923,SHAKESPEARE,LOVES LABORS LOST (ED MOWAT),"SIMON & SCHUSTER, INC.",,R,$6.99
