9780062127358,"GOODISON, LORNA",BY LOVE POSSESSED: STORIES,HARPERCOLLINS PUBLISHERS,,R,$14.99
9780345381439,GARCIA,DREAMING IN CUBAN,"RANDOM HOUSE, INC.",,R,$13.95
9780374527075,"KINCAID, JAMAICA",A SMALL PLACE,FARRAR STRAUS & GIROUX,,R,$13.00
9780374527341,"KINCAID, JAMAICA",AT THE BOTTOM OF THE RIVER,FARRAR STRAUS & GIROUX,,R,$13.00
9780385258920,BRAND,A MAP TO THE DOOR OF NO RETURN: NOTES TO BELONGING,DOUBLEDAY,,R,$18.00
9780393308808,RHYS,WIDE SARGASSO SEA,W W NORTON & COMPANY,,R,$13.95
9780582642645,SELVON,LONELY LONDONERS (P),PEARSON EDUCATION,,R,$17.50
9780679766575,DANTICAT,KRIK KRAK,"RANDOM HOUSE, INC.",,R,$14.00
9780822342267,"GLAVE, THOMAS",OUR CARIBBEAN: A GATHERING OF LESBIAN AND GAY WRITING FROM THE ANTILLES,DUKE UNIVERSITY PRESS,,O,$26.95
9781400049240,VEGA,WHEN THE SPIRITS DANCE MAMBO,"RANDOM HOUSE, INC.",,R,$13.95
9781558614987,"MARSHALL, PAULE","BROWN GIRL, BROWNSTONES","NATIONAL BOOK NETWORK, INC.",,R,$16.95
9781933354262,"CHANNER, COLIN",THE GIRL WITH THE GOLDEN SHOES,CONSORTIUM BOOK SALES,,R,$13.95
