9780195042252,"BROWN, JUDITH C.",IMMODEST ACTS THE LIFE OF A LESBIAN NUN IN RENAISSANCE ITALY,OXFORD UNIVERSITY PRESS,,R,$19.99
9780195056969,"RUGGIERO, GUIDO",BOUNDARIES OF EROS,OXFORD UNIVERSITY PRESS,,R,$50.00
9780195122923,"ROCKE, MICHAEL",FORBIDDEN FRIENDSHIPS HOMOSEXUALITY AND MALE CULTURE IN RENAISSANCE FLORENCE,OXFORD UNIVERSITY PRESS,,R,$40.00
9780199540419,"BOCCACCIO, GIOVANNI",DECAMERON,OXFORD UNIVERSITY PRESS,,R,$13.95
9780226048789,BIGOLINA,URANIA,UNIVERSITY OF CHICAGO PRESS,,R,$25.00
9780226256825,FONTE,WORTH OF WOMEN (ED COX),UNIVERSITY OF CHICAGO PRESS,,R,$23.00
9780520244955,BRUCKER,GIOVANNI & LUSANNA (WITH NEW PREFACE),CALIFORNIA-PRINCETON,,R,$19.95
9780801872587,"GIANNETTI, LAURA",FIVE COMEDIES FROM THE ITALIAN RENAISSANCE,JOHNS HOPKINS UNIV PRESS,,R,$27.00
9780881339024,MACHIAVELLI,CLIZIA,WAVELAND PRESS,,R,$11.50
9780934977319,MARTONE,RENAISSANCE COMIC TALES OF LOVE TREACHERY & REVENGE,"ITALICA PRESS, INC",,R,$16.00
