9780199555888,"ENGELS, FRIEDRICH",CONDITION OF THE WORKING CLASS IN ENGLAND,OXFORD UNIVERSITY PRESS,,R,$13.95
9780226321462,"HAYLES, N. KATHERINE",HOW WE BECAME POSTHUMAN VIRTUAL BODIES IN CYBERNETICS LITERATURE AND INFORMATICS,UNIVERSITY OF CHICAGO PRESS,,R,$22.50
9780226720814,"RISKIN, JESSICA",GENESIS REDUX: ESSAYS IN THE HISTORY AND PHILOSOPHY OF ARTIFICIAL LIFE,UNIVERSITY OF CHICAGO PRESS,,R,$30.00
9780226817422,TURNER,FROM COUNTERCULTURE TO CYBERCULTURE,UNIVERSITY OF CHICAGO PRESS,,R,$17.00
9780306803208,WIENER,HUMAN USE OF HUMAN BEINGS,PERSEUS DISTRIBUTION,,R,$15.00
9780441007462,GIBSON W,NEUROMANCER,THE PENGUIN GROUP,,R,$15.00
9780465010219,"TURKLE, SHERRY",ALONE TOGETHER: WHY WE EXPECT MORE FROM TECHNOLOGY AND LESS FROM EACH OTHER,PERSEUS DISTRIBUTION,,R,$28.95
9780520059290,SCHIVELBUSCH,RAILWAY JOURNEY,CALIFORNIA-PRINCETON,,R,$28.95
9780691133829,GRIER,WHEN COMPUTERS WERE HUMAN,PRINCETON UNIVERSITY PRESS,,R,$31.95
9780816644230,DOUGLAS,LISTENING IN,UNIVERSITY OF MINNESOTA PRESS,,R,$19.95
