9788420633558,"GARCIA LORCA, FEDERICO","ZAPATERA PRODIGIOSA, LA",IDEAL FOREIGN BOOKS,,R,$15.00
9788420633565,"GARCIA LORCA, FEDERICO","DONA ROSITA LA SOLTERA, O, EL LENGUAJE DE LAS FLORES: POEMA GRANADINO DEL NOVECIENTOS, DIVIDIDO EN VARIOS JARDINES, CON ESCENAS DE CANTO Y BAILE; SEGU",IDEAL FOREIGN BOOKS,,R,$13.95
9788437600727,GARCIA-LORCA,YERMA,"ADLERS FOREIGN BOOKS, INC",,R,$16.00
9788437601144,GARCIA-LORCA,POEMA DEL CANTE JONDO/ROMANCERO GITANO (CATEDRA #66) (P),,,R,$14.95
9788437605609,GARCIA LORCA,BODAS DE SANGRE (CATEDRA),IDEAL FOREIGN BOOKS,4,R,$14.95
9788437606729,GARCIA LORCA,EL PUBLICO (CATEDRA),IDEAL FOREIGN BOOKS,,R,$12.95
9788437607252,GARCIA LORCA,POETA EN NUEVA YORK,IDEAL FOREIGN BOOKS,,R,$14.95
9788437608990,GARCIA LORCA,AMOR DE DON PERLIMPLIN CON BELISA EN SU JARDIN,IDEAL FOREIGN BOOKS,,R,$16.95
9788437609768,GARCIA LORCA,MARIANA PINEDA,,,R,$15.95
9788437613529,GARCIA-LORCA,ASI QUE PASEN CINCO ANOS (CATEDRA #397) (P),,,R,$21.95
9788437622453,GARCIA LORCA,CASA DE BERNARDA ALBA,IDEAL FOREIGN BOOKS,,R,$14.99
