Spring 2013,HD,3300,1,MENDLE,150,123
Spring 2013,HD,4300,1,KUSHNIR,20,14
Spring 2013,HD,6210,101,WANG,6,2
Fall 2012,HD,1140,101,SWEENEY,20,18
Fall 2012,HD,1150,1,GANZEL,350,287
Fall 2012,HD,1160,201-208,GANZEL,100,0
Fall 2012,HD,1840,1,CECI ET AL,125,17
Fall 2012,HD,2600,1,ZAYAS,210,80
Fall 2012,HD,2830,1,CASASOLA,50,52
Fall 2012,HD,3380,1,WANG,21,36
Fall 2012,HD,3460,1,STILWELL,40,39
Fall 2012,HD,3570,1,WETHINGTON,100,89
Fall 2012,HD,4770,1,MENDLE,20,16
Fall 2012,HD,4840,101,CECI ET AL,125,25
Fall 2012,HD,6330,101,LUST,10,2
