AAS - ASIAN AMERICAN STUDIES,Fall 2012,AAS,3030,1,MUNASINGHE,8,4
AAS - ASIAN AMERICAN STUDIES,Fall 2012,AAS,4530,101,WONG,13,0
AAS - ASIAN AMERICAN STUDIES,Fall 2012,AAS,4790,101,MUNASINGHE,15,2
AAS - ASIAN AMERICAN STUDIES,Fall 2012,AAS,7479,101,MUNASINGHE,15,0
AAS - ASIAN AMERICAN STUDIES,Spring 2012,AAS,1100,1,PHAM,35,32
AAS - ASIAN AMERICAN STUDIES,Spring 2012,AAS,2620,101,"WONG, S",20,9
AEP - APPLIED & ENGINEERING PHYSICS,Spring 2013,AEP,2170,1,XU,38,0
AEP - APPLIED & ENGINEERING PHYSICS,Spring 2013,AEP,3560,1,LOVELACE,39,19
AEP - APPLIED & ENGINEERING PHYSICS,Spring 2013,AEP,3620,1,FENNIE,40,27
AEP - APPLIED & ENGINEERING PHYSICS,Spring 2013,AEP,4340,1,TURNER,35,29
AEP - APPLIED & ENGINEERING PHYSICS,Spring 2013,AEP,4400,1,WISE,35,23
AEP - APPLIED & ENGINEERING PHYSICS,Spring 2013,AEP,4840,1,HAMMER,50,5
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,1100,1,XU,40,4
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,2170,1,SIEVERS,35,1
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,3300,1,AGLADZE,20,4
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,3330,1,WICKHAM,30,23
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,3550,1,POLLACK,45,26
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,3610,1,POLLACK,45,25
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,3630,1,KIRKLAND,30,13
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,4130,1,HAMMER,50,7
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,4210,1,STIADLE,50,72
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,4500,1,FENNIE,45,14
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,5570,1,LOVELACE,25,19
AEP - APPLIED & ENGINEERING PHYSICS,Fall 2012,AEP,6060,1,HAMMER,10,3
AIS - AMERICAN INDIAN STUDIES,Spring 2013,AIS,4670,1,CHEYFITZ,10,0
AIS - AMERICAN INDIAN STUDIES,Fall 2012,AIS,1100,1,JORDAN,75,52
AIS - AMERICAN INDIAN STUDIES,Fall 2012,AIS,1121,101,MAUER,18,18
AIS - AMERICAN INDIAN STUDIES,Fall 2012,AIS,2390,101,PARMENTER,15,2
AIS - AMERICAN INDIAN STUDIES,Fall 2012,AIS,3330,1,KASSAM,35,10
AIS - AMERICAN INDIAN STUDIES,Fall 2012,AIS,4720,101,JORDAN,10,1
AIS - AMERICAN INDIAN STUDIES,Fall 2012,AIS,7720,101,JORDAN,10,0
AIS - AMERICAN INDIAN STUDIES,Spring 2012,AIS,1110,1,"RICHARDSON, T",60,34
AIS - AMERICAN INDIAN STUDIES,Spring 2012,AIS,2660,1,PARMENTER,40,12
AIS - AMERICAN INDIAN STUDIES,Spring 2012,AIS,3422,1,"NADASDY, P",30,9
AIS - AMERICAN INDIAN STUDIES,Spring 2012,AIS,4600,"101,102",JORDAN,10,0
AIS - AMERICAN INDIAN STUDIES,Spring 2012,AIS,6422,1,"NADASDY, P",30,0
ALS - AGRICULTURE & LIFE SCIENCES,Fall 2012,ALS,2780,"1,2",KENYON,30,0
ALS - AGRICULTURE & LIFE SCIENCES,Fall 2012,ALS,5780,1-4,KENYON,30,33
ALS - AGRICULTURE & LIFE SCIENCES,Spring 2012,ALS,3100,1,SIDLE,20,19
ALS - AGRICULTURE & LIFE SCIENCES,Spring 2012,ALS,6015,1,WAY,20,17
ALS - AGRICULTURE & LIFE SCIENCES,Spring 2012,ALS,6016,101,"WILLIAMS, K",8,8
ANSC - ANIMAL SCIENCE,Fall 2012,ANSC,1100,1,SELVARAJ,120,119
ANSC - ANIMAL SCIENCE,Fall 2012,ANSC,2150,1,MUSCARELLA/PARKS,65,80
ANSC - ANIMAL SCIENCE,Fall 2012,ANSC,4000,1,BROWN,12,13
ANSC - ANIMAL SCIENCE,Fall 2012,ANSC,4270,1,JOHNSON,50,38
ART - ART,Fall 2012,ART,2601,"501, 502",EVETT/GASKINS,32,27
ART - ART,Fall 2012,ART,3703,501,FERRO,10,3
ART - ART,Fall 2012,ART,6690,101,DADI,18,13
BENGL - BENGALI,Spring 2013,BENGL,1102,1,MUKHERJEE,5,5
BENGL - BENGALI,Spring 2013,BENGL,2202,1,MUKHERJEE,4,5
BENGL - BENGALI,Spring 2013,BENGL,3301,101,MUKHERJEE,3,0
BENGL - BENGALI,Spring 2013,BENGL,3302,1,MUKHERJEE,2,0
BENGL - BENGALI,Fall 2012,BENGL,1101,1,MUKHERJEE,9,5
BENGL - BENGALI,Fall 2012,BENGL,2201,1,MUKHERJEE,6,4
BENGL - BENGALI,Fall 2012,BENGL,3301,101,MUKHERJEE,5,3
BENGL - BENGALI,Spring 2012,BENGL,1122,1,MUKHERJEE,6,6
BENGL - BENGALI,Spring 2012,BENGL,2202,1,MUKHERJEE,3,6
BENGL - BENGALI,Spring 2012,BENGL,3302,101,MUKHERJEE,3,1
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Spring 2013,BIOAP,3160,1,QUARONI,100,61
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Spring 2013,BIOAP,4130,1,QUARONI,40,25
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Spring 2013,BIOAP,4580,1,BEYENBACH,70,38
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Fall 2012,BIOAP,2140,1,FORTUNE,60,18
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Fall 2012,BIOAP,3110,1,LOEW,145,91
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Fall 2012,BIOAP,3190,1,LORR,60,30
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Fall 2012,BIOAP,4270,1,JOHNSON,50,15
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Spring 2012,BIOAP,3160,1,QUARONI,100,61
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Spring 2012,BIOAP,4130,1,"QUARONI, A",40,22
BIOAP - BIO -- ANIMAL PHYSIOLOGY & ANATOMY,Spring 2012,BIOAP,4580,1,"BEYENBACH, K",70,48
BIOEE - ECOLOGY & EVOLUTIONARY BIOLOGY,Spring 2013,BIOEE,2740,1,MCGUIRE,65,59
BIOEE - ECOLOGY & EVOLUTIONARY BIOLOGY,Spring 2013,BIOEE,3620,1,GUCKENHEIMER,25,19
BIOG - BIOLOGY -- GENERAL,Spring 2013,BIOG,1106,1,CAMPBELL,100,69
